Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,ML,Close,,,,,,
719,971,V,KAN,MMONTGOMERY-L,1,0,1,0,0,3,0,0,0,5,222,260,,,,,,
719,972,H,CLE,SBIEBER-R,1,0,4,0,1,1,0,3,0,10,-270,-300,,,,,,
719,973,V,OAK,CBASSITT-R,2,0,0,0,1,2,0,0,0,5,113,120,,,,,,
719,974,H,MIN,JODORIZZI-R,0,1,2,0,0,0,0,0,0,3,-133,-130,,,,,,
719,975,V,TEX,MMINOR-L,0,0,0,0,0,2,1,0,0,3,188,190,,,,,,
719,976,H,HOU,JVERLANDER-R,0,1,3,0,0,0,0,0,0,4,-225,-210,,,,,,
719,977,V,LAA,TCOLE-R,0,0,0,0,0,0,0,0,0,0,-140,-123,,,,,,
719,978,H,SEA,MLEAKE-R,0,0,0,5,3,2,0,0,x,10,120,113,,,,,,
719,979,V,COL,KFREELAND-L,0,2,0,0,0,0,0,0,0,2,199,200,,,,,,
719,980,H,NYY,JHAPP-L,0,0,4,1,0,3,0,0,0,8,-240,-220,,,,,,
720,901,V,SDG,JLUCCHESI-L,0,0,3,1,1,0,0,0,0,5,111,125,,,,,,
720,902,H,CUB,JQUINTANA-L,2,0,1,3,0,0,0,0,0,6,-131,-135,,,,,,
720,903,V,NYM,WLOCKETT-R-R,0,1,0,1,2,4,0,0,3,11,109,140,,,,,,
720,904,H,SFO,JSAMARDZIJA-R,0,0,0,0,1,0,0,0,3,4,-129,-150,,,,,,
720,905,V,PHI,ZEFLIN-R,0,0,0,0,1,0,0,0,0,1,-103,120,,,,,,
720,906,H,PIT,JMUSGROVE-R,0,0,3,0,0,1,1,0,0,5,-117,-130,,,,,,
720,907,V,STL,MMIKOLAS-R,0,0,0,0,0,1,0,1,0,2,120,132,,,,,,
720,908,H,CIN,LCASTILLO-R,0,0,0,0,0,0,3,0,0,3,-140,-142,,,,,,
720,909,V,WAS,ASANCHEZ-R,0,0,0,1,3,0,0,0,1,5,140,156,,,,,,
720,910,H,ATL,MSOROKA-R,1,0,0,0,0,2,0,0,0,3,-160,-166,,,,,,
720,911,V,MIL,GGONZALEZ-L,0,0,0,1,0,1,0,3,3,8,123,143,,,,,,
720,912,H,ARI,ZGREINKE-R,1,0,0,0,2,0,0,0,0,3,-143,-153,,,,,,
720,913,V,MIA,SALCANTARA-R,0,0,0,0,0,0,1,5,0,6,249,280,,,,,,
720,914,H,LAD,CKERSHAW-L,1,0,0,3,2,0,0,4,0,10,-305,-320,,,,,,
720,915,V,CWS,LGIOLITO-R,0,0,0,0,0,0,0,0,1,2,130,145,,,,,,
720,916,H,TAM,RYARBROUGH-L,0,0,0,0,0,0,1,0,0,1,-150,-155,,,,,,
720,917,V,TOR,TTHORNTON-R,1,0,0,0,4,2,0,0,0,7,-125,-122,,,,,,
720,918,H,DET,DNORRIS-L,0,3,0,2,0,0,0,0,0,5,105,112,,,,,,
720,919,V,BOS,RPORCELLO-R,0,4,1,8,3,0,0,0,1,17,-200,-220,,,,,,
720,920,H,BAL,TESHELMAN-R,0,0,5,0,1,0,0,0,0,6,170,200,,,,,,
720,921,V,OAK,BANDERSON-L,0,0,0,0,0,0,3,0,2,5,127,128,,,,,,
720,922,H,MIN,JBERRIOS-R,2,0,0,0,0,0,2,0,0,4,-147,-138,,,,,,
720,923,V,KAN,JJUNIS-R,1,0,0,0,0,0,0,0,0,1,170,154,,,,,,
720,924,H,CLE,APLUTKO-R,0,0,0,0,0,0,0,0,0,0,-200,-164,,,,,,
720,925,V,TEX,AJURADO-R,0,0,0,1,0,0,0,0,0,1,170,175,,,,,,
720,926,H,HOU,JURQUIDY-R,0,0,2,0,3,1,0,0,0,6,-200,-190,,,,,,
720,927,V,LAA,GCANNING-R,0,0,0,2,0,0,0,0,4,6,-131,-142,,,,,,
720,928,H,SEA,MWISLER-R,0,1,1,0,0,0,0,0,0,2,111,132,,,,,,
720,929,V,COL,ASENZATELA-R,0,0,0,0,0,5,0,0,0,5,218,230,,,,,,
720,930,H,NYY,MTANAKA-R,1,5,0,3,0,0,2,0,0,11,-265,-260,,,,,,
721,951,V,STL,JFLAHERTY-R,0,2,0,0,0,0,0,0,1,3,-112,100,,,,,,
721,952,H,CIN,ADESCLAFANI-R,0,0,0,0,0,0,0,1,0,1,-108,-110,,,,,,
721,953,V,WAS,JROSS-R,0,0,0,0,0,0,0,1,0,1,115,160,,,,,,
721,954,H,ATL,KGAUSMAN-R,2,0,0,0,0,1,2,2,0,7,-135,-170,,,,,,
721,955,V,PHI,DSMYLY-L,0,0,0,1,0,0,0,0,0,2,125,122,,,,,,
721,956,H,PIT,DAGRAZAL-R,1,0,0,0,0,0,0,0,0,1,-145,-132,,,,,,
721,957,V,SDG,AMOREJON-L,0,0,0,0,1,0,1,0,3,5,170,160,,,,,,
721,958,H,CUB,KHENDRICKS-R,1,0,0,0,0,0,0,0,0,1,-200,-170,,,,,,
721,959,V,NYM,SMATZ-L,0,2,0,0,0,0,0,0,0,2,105,100,,,,,,
721,960,H,SFO,CMENEZ-L,0,1,0,1,0,0,0,0,0,3,-125,-110,,,,,,
721,961,V,MIA,JYAMAMOTO-R-R,0,0,0,0,0,0,0,0,0,0,252,280,,,,,,
721,962,H,LAD,WBUEHLER-R,2,0,2,1,1,0,3,0,0,9,-310,-320,,,,,,
721,963,V,MIL,BWOODRUFF-R,0,0,0,4,0,0,0,3,0,7,-155,-125,,,,,,
721,964,H,ARI,AYOUNG-L,1,2,1,0,0,0,0,0,0,4,135,115,,,,,,
721,965,V,BOS,ACASHNER-R,0,0,0,0,0,0,0,0,0,0,-210,-215,,,,,,
721,966,H,BAL,AWOJCIECHOWSKI-R,1,1,2,0,0,0,0,1,0,5,176,195,,,,,,
721,967,V,TOR,JWAGUESPACK-R,1,0,0,0,0,0,0,0,2,3,-125,-118,,,,,,
721,968,H,DET,TALEXANDER-L,0,1,1,0,1,0,0,0,0,4,105,108,,,,,,
721,969,V,CWS,DCEASE-R,0,0,0,0,0,0,2,0,0,2,203,240,,,,,,
721,970,H,TAM,BSNELL-L,0,4,0,0,0,0,0,0,0,4,-245,-270,,,,,,
721,971,V,KAN,GSPARKMAN-R,1,0,1,0,0,0,0,1,1,4,180,190,,,,,,
721,972,H,CLE,ZPLESAC-R,0,0,2,0,0,3,0,0,0,5,-215,-210,,,,,,
721,973,V,OAK,DMENGDEN-R,0,0,0,0,2,1,1,2,0,6,125,120,,,,,,
721,974,H,MIN,MPINEDA-R,1,3,0,0,1,0,0,0,2,7,-145,-130,,,,,,
721,975,V,TEX,LLYNN-R,0,0,1,0,0,1,0,0,1,3,125,125,,,,,,
721,976,H,HOU,RARMENTEROS-R,2,0,0,0,2,0,0,1,0,5,-145,-135,,,,,,
721,977,V,LAA,DPETERS-L,0,1,0,4,2,0,1,1,0,9,-143,-138,,,,,,
721,978,H,SEA,YKIKUCHI-L,0,0,0,0,0,0,1,0,2,3,123,128,,,,,,
721,979,V,COL,GMARQUEZ-R,1,0,4,2,0,0,0,1,0,8,160,175,,,,,,
721,980,H,NYY,JPAXTON-L,1,0,0,0,1,0,0,2,0,4,-185,-190,,,,,,
722,903,V,STL,JLESTER-L,0,0,1,1,0,0,0,0,0,6,-115,-108,,,,,,
722,904,H,PIT,TBEEDE-R,0,0,1,1,0,0,0,0,0,5,-105,-102,,,,,,
722,905,V,CIN,AWAINWRIGHT-R,0,0,0,0,1,1,2,0,2,6,-102,103,,,,,,
722,906,H,MIL,JLYLES-R,0,0,1,0,0,0,0,4,0,5,-118,-113,,,,,,
722,907,V,CUB,KFREELAND-L,0,1,1,1,0,0,0,1,0,4,-113,-108,,,,,,
722,908,H,SFO,PCORBIN-L,0,0,0,1,1,0,0,3,0,5,-107,-102,,,,,,
